total customers served 3000
Average Wait time with 8 regular lanes and 4 express lanes is 39.69

Customer 64 Arrival: 660.88, End Shopping: 664.2, Wait Time: -0.0, End Checkout: 665.6
Customer 65 Arrival: 153.05, End Shopping: 184.13, Wait Time: 26.95, End Checkout: 214.93
Customer 66 Arrival: 5.13, End Shopping: 24.09, Wait Time: -0.0, End Checkout: 27.29
Customer 67 Arrival: 578.78, End Shopping: 586.34, Wait Time: 102.13, End Checkout: 691.17
Customer 68 Arrival: 301.64, End Shopping: 312.52, Wait Time: 0.0, End Checkout: 314.32
Customer 69 Arrival: 223.23, End Shopping: 244.65, Wait Time: 44.9, End Checkout: 292.6
Customer 70 Arrival: 587.37, End Shopping: 654.97, Wait Time: 115.02, End Checkout: 774.59
Customer 71 Arrival: 582.87, End Shopping: 593.4, Wait Time: -0.0, End Checkout: 595.3
Customer 72 Arrival: 332.08, End Shopping: 347.08, Wait Time: 63.52, End Checkout: 413.6
Customer 73 Arrival: 56.52, End Shopping: 58.5, Wait Time: 0.0, End Checkout: 59.7
Customer 74 Arrival: 146.86, End Shopping: 192.45, Wait Time: 22.7, End Checkout: 219.5
Customer 75 Arrival: 522.81, End Shopping: 567.96, Wait Time: 97.99, End Checkout: 669.7
Customer 76 Arrival: 583.31, End Shopping: 610.15, Wait Time: 104.11, End Checkout: 717.36
Customer 77 Arrival: 355.48, End Shopping: 380.12, Wait Time: 63.98, End Checkout: 447.2
Customer 78 Arrival: 132.46, End Shopping: 157.4, Wait Time: 23.89, End Checkout: 185.44
Customer 79 Arrival: 595.91, End Shopping: 619.91, Wait Time: 109.39, End Checkout: 733.7
Customer 80 Arrival: 341.44, End Shopping: 347.08, Wait Time: 0.0, End Checkout: 348.68
Customer 81 Arrival: 684.94, End Shopping: 688.06, Wait Time: 0.0, End Checkout: 689.66
Customer 82 Arrival: 247.84, End Shopping: 256.97, Wait Time: -0.0, End Checkout: 259.07
Customer 83 Arrival: 53.56, End Shopping: 101.97, Wait Time: 4.2, End Checkout: 110.52
Customer 84 Arrival: 302.59, End Shopping: 303.74, Wait Time: -0.0, End Checkout: 304.84
Customer 85 Arrival: 682.05, End Shopping: 685.77, Wait Time: 0.0, End Checkout: 687.07
Customer 86 Arrival: 603.9, End Shopping: 615.9, Wait Time: 105.17, End Checkout: 723.87
Customer 87 Arrival: 61.36, End Shopping: 69.46, Wait Time: 1.65, End Checkout: 72.71
Customer 88 Arrival: 229.52, End Shopping: 245.9, Wait Time: 39.28, End Checkout: 288.48
Customer 89 Arrival: 562.1, End Shopping: 571.06, Wait Time: 94.02, End Checkout: 667.78
Customer 90 Arrival: 438.35, End Shopping: 446.87, Wait Time: 0.85, End Checkout: 449.32
Customer 91 Arrival: 132.12, End Shopping: 168.46, Wait Time: 20.53, End Checkout: 193.29
Customer 92 Arrival: 401.49, End Shopping: 413.73, Wait Time: 82.87, End Checkout: 499.8
Customer 93 Arrival: 128.94, End Shopping: 174.53, Wait Time: 22.98, End Checkout: 201.86
Customer 94 Arrival: 29.05, End Shopping: 33.85, Wait Time: -0.0, End Checkout: 35.25
Customer 95 Arrival: 277.48, End Shopping: 323.3, Wait Time: 53.9, End Checkout: 382.1
Customer 96 Arrival: 328.77, End Shopping: 343.27, Wait Time: 0.0, End Checkout: 345.27
Customer 97 Arrival: 8.75, End Shopping: 16.35, Wait Time: 0.0, End Checkout: 18.35
Customer 98 Arrival: 69.53, End Shopping: 103.78, Wait Time: 3.84, End Checkout: 110.87
Customer 99 Arrival: 97.33, End Shopping: 123.89, Wait Time: 11.92, End Checkout: 139.41
Customer 100 Arrival: 354.33, End Shopping: 358.18, Wait Time: -0.0, End Checkout: 359.88
Customer 101 Arrival: 208.09, End Shopping: 248.89, Wait Time: 43.67, End Checkout: 297.56
Customer 102 Arrival: 398.1, End Shopping: 408.15, Wait Time: 75.75, End Checkout: 486.65
Customer 103 Arrival: 231.02, End Shopping: 260.72, Wait Time: 44.06, End Checkout: 309.48
Customer 104 Arrival: 374.6, End Shopping: 408.6, Wait Time: 76.6, End Checkout: 489.7
Customer 105 Arrival: 426.18, End Shopping: 433.5, Wait Time: 0.9, End Checkout: 436.0
Customer 106 Arrival: 144.29, End Shopping: 219.22, Wait Time: 42.78, End Checkout: 266.95
Customer 107 Arrival: 514.41, End Shopping: 522.51, Wait Time: 88.58, End Checkout: 613.84
Customer 108 Arrival: 9.34, End Shopping: 19.6, Wait Time: -0.0, End Checkout: 21.5
Customer 109 Arrival: 553.33, End Shopping: 601.81, Wait Time: 103.11, End Checkout: 709.32
Customer 110 Arrival: 148.38, End Shopping: 174.18, Wait Time: 19.13, End Checkout: 197.46
Customer 111 Arrival: 614.0, End Shopping: 633.65, Wait Time: 107.64, End Checkout: 744.04
Customer 112 Arrival: 425.59, End Shopping: 430.69, Wait Time: 0.0, End Checkout: 432.69
Customer 113 Arrival: 569.64, End Shopping: 583.39, Wait Time: 0.0, End Checkout: 585.49
Customer 114 Arrival: 114.49, End Shopping: 121.96, Wait Time: 0.82, End Checkout: 124.68
Customer 115 Arrival: 154.93, End Shopping: 163.57, Wait Time: 1.1, End Checkout: 166.87
Customer 116 Arrival: 156.42, End Shopping: 206.88, Wait Time: 31.11, End Checkout: 242.89
Customer 117 Arrival: 246.67, End Shopping: 274.27, Wait Time: 46.61, End Checkout: 324.03
Customer 118 Arrival: 49.76, End Shopping: 65.36, Wait Time: 0.0, End Checkout: 68.36
Customer 119 Arrival: 518.7, End Shopping: 559.59, Wait Time: 100.4, End Checkout: 663.44
Customer 120 Arrival: 508.59, End Shopping: 511.71, Wait Time: -0.0, End Checkout: 513.31
Customer 121 Arrival: 242.07, End Shopping: 257.44, Wait Time: 44.92, End Checkout: 305.81
Customer 122 Arrival: 152.13, End Shopping: 175.33, Wait Time: 18.73, End Checkout: 198.06
Customer 123 Arrival: 598.69, End Shopping: 618.49, Wait Time: 109.84, End Checkout: 731.23
Customer 124 Arrival: 325.52, End Shopping: 331.52, Wait Time: 0.0, End Checkout: 333.02
Customer 125 Arrival: 550.93, End Shopping: 552.57, Wait Time: 1.61, End Checkout: 555.38
Customer 126 Arrival: 249.67, End Shopping: 254.65, Wait Time: -0.0, End Checkout: 256.25
Customer 127 Arrival: 248.63, End Shopping: 250.03, Wait Time: -0.0, End Checkout: 251.23
Customer 128 Arrival: 457.41, End Shopping: 473.36, Wait Time: -0.0, End Checkout: 475.46
Customer 129 Arrival: 257.1, End Shopping: 266.45, Wait Time: 49.91, End Checkout: 319.21
Customer 130 Arrival: 147.03, End Shopping: 154.87, Wait Time: -0.0, End Checkout: 156.67
Customer 131 Arrival: 393.19, End Shopping: 450.39, Wait Time: 73.05, End Checkout: 528.19
Customer 132 Arrival: 148.31, End Shopping: 154.79, Wait Time: -0.0, End Checkout: 156.39
Customer 133 Arrival: 182.27, End Shopping: 191.23, Wait Time: 0.0, End Checkout: 193.03
Customer 134 Arrival: 310.97, End Shopping: 312.29, Wait Time: -0.0, End Checkout: 313.49
Customer 135 Arrival: 457.93, End Shopping: 482.59, Wait Time: 83.97, End Checkout: 569.46
Customer 136 Arrival: 56.22, End Shopping: 61.42, Wait Time: -0.0, End Checkout: 63.22
Customer 137 Arrival: 246.31, End Shopping: 282.03, Wait Time: 51.32, End Checkout: 337.7
Customer 138 Arrival: 409.34, End Shopping: 431.18, Wait Time: 77.11, End Checkout: 511.34
Customer 139 Arrival: 398.01, End Shopping: 410.23, Wait Time: 78.83, End Checkout: 491.71
Customer 140 Arrival: 214.91, End Shopping: 221.73, Wait Time: 0.0, End Checkout: 223.83
Customer 141 Arrival: 674.77, End Shopping: 717.97, Wait Time: 138.17, End Checkout: 859.64
Customer 142 Arrival: 579.23, End Shopping: 586.88, Wait Time: -0.0, End Checkout: 588.78
Customer 143 Arrival: 52.85, End Shopping: 105.31, Wait Time: 8.86, End Checkout: 118.32
Customer 144 Arrival: 579.22, End Shopping: 590.1, Wait Time: -0.0, End Checkout: 591.9
Customer 145 Arrival: 539.21, End Shopping: 555.89, Wait Time: 0.0, End Checkout: 558.09
Customer 146 Arrival: 60.02, End Shopping: 67.58, Wait Time: 0.0, End Checkout: 69.28
Customer 147 Arrival: 53.57, End Shopping: 82.19, Wait Time: 1.38, End Checkout: 88.27
Customer 148 Arrival: 445.37, End Shopping: 503.05, Wait Time: 74.35, End Checkout: 582.2
Customer 149 Arrival: 519.89, End Shopping: 530.34, Wait Time: 0.0, End Checkout: 532.44
Customer 150 Arrival: 26.14, End Shopping: 30.22, Wait Time: 0.0, End Checkout: 31.52
Customer 151 Arrival: 182.06, End Shopping: 185.24, Wait Time: 0.66, End Checkout: 187.5
Customer 152 Arrival: 62.4, End Shopping: 81.72, Wait Time: 7.3, End Checkout: 91.72
Customer 153 Arrival: 244.52, End Shopping: 249.67, Wait Time: 0.0, End Checkout: 251.17
Customer 154 Arrival: 68.07, End Shopping: 79.86, Wait Time: 1.4, End Checkout: 83.16
Customer 155 Arrival: 424.06, End Shopping: 434.06, Wait Time: 1.98, End Checkout: 437.84
Customer 156 Arrival: 145.98, End Shopping: 147.06, Wait Time: -0.0, End Checkout: 148.26
Customer 157 Arrival: 670.68, End Shopping: 684.98, Wait Time: 0.0, End Checkout: 686.98
Customer 158 Arrival: 693.52, End Shopping: 725.02, Wait Time: 136.51, End Checkout: 865.03
Customer 159 Arrival: 644.9, End Shopping: 690.96, Wait Time: 125.8, End Checkout: 821.11
Customer 160 Arrival: 196.82, End Shopping: 246.31, Wait Time: 42.26, End Checkout: 293.02
Customer 161 Arrival: 205.04, End Shopping: 240.24, Wait Time: 41.36, End Checkout: 286.35
Customer 162 Arrival: 296.01, End Shopping: 297.33, Wait Time: 0.41, End Checkout: 298.94
Customer 163 Arrival: 528.54, End Shopping: 587.99, Wait Time: 104.28, End Checkout: 696.32
Customer 164 Arrival: 563.63, End Shopping: 565.28, Wait Time: 0.0, End Checkout: 566.58
Customer 165 Arrival: 661.95, End Shopping: 665.95, Wait Time: 1.46, End Checkout: 668.91
Customer 166 Arrival: 111.07, End Shopping: 114.4, Wait Time: -0.0, End Checkout: 115.7
Customer 167 Arrival: 353.48, End Shopping: 383.06, Wait Time: 73.96, End Checkout: 461.57
Customer 168 Arrival: 318.88, End Shopping: 337.43, Wait Time: 54.34, End Checkout: 395.52
Customer 169 Arrival: 284.4, End Shopping: 296.16, Wait Time: 48.21, End Checkout: 347.42
Customer 170 Arrival: 79.61, End Shopping: 134.61, Wait Time: 16.03, End Checkout: 155.39
Customer 171 Arrival: 588.48, End Shopping: 595.76, Wait Time: 3.63, End Checkout: 601.19
Customer 172 Arrival: 583.76, End Shopping: 611.76, Wait Time: 110.37, End Checkout: 725.13
Customer 173 Arrival: 613.66, End Shopping: 632.74, Wait Time: 113.03, End Checkout: 749.57
Customer 174 Arrival: 66.11, End Shopping: 83.57, Wait Time: 7.91, End Checkout: 94.38
Customer 175 Arrival: 366.9, End Shopping: 412.14, Wait Time: 81.55, End Checkout: 498.59
Customer 176 Arrival: 498.24, End Shopping: 516.48, Wait Time: 89.51, End Checkout: 609.19
Customer 177 Arrival: 513.11, End Shopping: 543.2, Wait Time: 93.53, End Checkout: 641.28
Customer 178 Arrival: 83.03, End Shopping: 89.05, Wait Time: 0.0, End Checkout: 90.75
Customer 179 Arrival: 599.16, End Shopping: 602.14, Wait Time: 2.02, End Checkout: 605.36
Customer 180 Arrival: 37.82, End Shopping: 115.82, Wait Time: 13.54, End Checkout: 134.36
Customer 181 Arrival: 40.52, End Shopping: 45.47, Wait Time: 0.0, End Checkout: 46.97
Customer 182 Arrival: 697.95, End Shopping: 705.54, Wait Time: 0.0, End Checkout: 707.64
Customer 183 Arrival: 411.08, End Shopping: 423.23, Wait Time: 0.83, End Checkout: 425.96
Customer 184 Arrival: 600.66, End Shopping: 648.96, Wait Time: 115.29, End Checkout: 768.55
Customer 185 Arrival: 110.64, End Shopping: 111.92, Wait Time: -0.0, End Checkout: 113.02
Customer 186 Arrival: 704.46, End Shopping: 758.85, Wait Time: 139.88, End Checkout: 902.58
Customer 187 Arrival: 389.45, End Shopping: 403.45, Wait Time: 73.27, End Checkout: 479.42
Customer 188 Arrival: 695.62, End Shopping: 709.3, Wait Time: 136.09, End Checkout: 848.29
Customer 189 Arrival: 153.31, End Shopping: 182.81, Wait Time: 26.59, End Checkout: 214.35
Customer 190 Arrival: 486.28, End Shopping: 532.48, Wait Time: 93.61, End Checkout: 631.09
Customer 191 Arrival: 411.63, End Shopping: 419.07, Wait Time: 0.0, End Checkout: 420.67
Customer 192 Arrival: 549.91, End Shopping: 556.01, Wait Time: 1.22, End Checkout: 558.73
Customer 193 Arrival: 126.47, End Shopping: 131.99, Wait Time: 2.6, End Checkout: 136.19
Customer 194 Arrival: 691.82, End Shopping: 700.52, Wait Time: 0.0, End Checkout: 702.52
Customer 195 Arrival: 211.4, End Shopping: 218.61, Wait Time: -0.0, End Checkout: 220.31
Customer 196 Arrival: 598.6, End Shopping: 616.28, Wait Time: 106.23, End Checkout: 725.81
Customer 197 Arrival: 287.76, End Shopping: 295.46, Wait Time: 0.0, End Checkout: 297.16
Customer 198 Arrival: 83.5, End Shopping: 117.04, Wait Time: 12.37, End Checkout: 133.36
Customer 199 Arrival: 375.32, End Shopping: 379.13, Wait Time: 0.0, End Checkout: 380.43
Customer 200 Arrival: 20.03, End Shopping: 31.73, Wait Time: 0.0, End Checkout: 34.63
Customer 201 Arrival: 410.77, End Shopping: 427.27, Wait Time: 75.87, End Checkout: 506.79
Customer 202 Arrival: 387.97, End Shopping: 405.61, Wait Time: -0.0, End Checkout: 407.81
Customer 203 Arrival: 473.9, End Shopping: 543.26, Wait Time: 93.73, End Checkout: 641.54
Customer 204 Arrival: 704.25, End Shopping: 710.49, Wait Time: 1.36, End Checkout: 714.05
Customer 205 Arrival: 77.32, End Shopping: 81.64, Wait Time: 1.52, End Checkout: 84.56
Customer 206 Arrival: 413.79, End Shopping: 462.79, Wait Time: 77.83, End Checkout: 544.37
Customer 207 Arrival: 51.41, End Shopping: 63.84, Wait Time: -0.0, End Checkout: 65.94
Customer 208 Arrival: 190.31, End Shopping: 194.65, Wait Time: 0.73, End Checkout: 197.08
Customer 209 Arrival: 551.35, End Shopping: 640.75, Wait Time: 110.69, End Checkout: 756.44
Customer 210 Arrival: 285.5, End Shopping: 297.0, Wait Time: 51.61, End Checkout: 351.76
Customer 211 Arrival: 80.78, End Shopping: 93.38, Wait Time: 1.96, End Checkout: 97.24
Customer 212 Arrival: 32.95, End Shopping: 34.96, Wait Time: -0.0, End Checkout: 37.11
Customer 213 Arrival: 87.12, End Shopping: 125.52, Wait Time: 9.64, End Checkout: 140.16
Customer 214 Arrival: 595.73, End Shopping: 641.24, Wait Time: 104.2, End Checkout: 749.49
Customer 215 Arrival: 415.17, End Shopping: 456.4, Wait Time: 83.4, End Checkout: 543.35
Customer 216 Arrival: 619.03, End Shopping: 640.63, Wait Time: 104.88, End Checkout: 748.71
Customer 217 Arrival: 34.35, End Shopping: 60.81, Wait Time: 0.0, End Checkout: 65.26
Customer 218 Arrival: 165.55, End Shopping: 206.25, Wait Time: 28.06, End Checkout: 238.16
Customer 219 Arrival: 333.15, End Shopping: 335.19, Wait Time: -0.0, End Checkout: 336.39
Customer 220 Arrival: 470.72, End Shopping: 475.32, Wait Time: 0.0, End Checkout: 476.72
Customer 221 Arrival: 561.27, End Shopping: 576.45, Wait Time: 104.23, End Checkout: 683.83
Customer 222 Arrival: 243.48, End Shopping: 248.24, Wait Time: 0.84, End Checkout: 250.78
Customer 223 Arrival: 637.43, End Shopping: 650.21, Wait Time: 1.45, End Checkout: 653.56
Customer 224 Arrival: 48.09, End Shopping: 56.82, Wait Time: -0.0, End Checkout: 58.72
Customer 225 Arrival: 152.2, End Shopping: 183.94, Wait Time: 20.85, End Checkout: 209.09
Customer 226 Arrival: 588.55, End Shopping: 594.51, Wait Time: 2.48, End Checkout: 598.39
Customer 227 Arrival: 76.58, End Shopping: 77.6, Wait Time: 0.0, End Checkout: 78.8
Customer 228 Arrival: 600.46, End Shopping: 660.96, Wait Time: 115.64, End Checkout: 781.35
Customer 229 Arrival: 207.57, End Shopping: 261.51, Wait Time: 47.41, End Checkout: 313.82
Customer 230 Arrival: 161.39, End Shopping: 191.99, Wait Time: 24.79, End Checkout: 220.28
Customer 231 Arrival: 680.27, End Shopping: 736.07, Wait Time: 132.07, End Checkout: 873.14
Customer 232 Arrival: 718.47, End Shopping: 752.07, Wait Time: 135.57, End Checkout: 891.24
Customer 233 Arrival: 64.24, End Shopping: 92.37, Wait Time: 4.52, End Checkout: 100.34
Customer 234 Arrival: 305.15, End Shopping: 317.65, Wait Time: 52.31, End Checkout: 373.21
Customer 235 Arrival: 122.59, End Shopping: 166.27, Wait Time: 17.16, End Checkout: 188.23
Customer 236 Arrival: 40.32, End Shopping: 100.95, Wait Time: 5.77, End Checkout: 111.07
Customer 237 Arrival: 523.86, End Shopping: 575.7, Wait Time: 102.76, End Checkout: 682.26
Customer 238 Arrival: 93.89, End Shopping: 107.99, Wait Time: 0.0, End Checkout: 109.99
Customer 239 Arrival: 677.75, End Shopping: 696.67, Wait Time: 130.74, End Checkout: 830.51
Customer 240 Arrival: 655.53, End Shopping: 681.66, Wait Time: 120.54, End Checkout: 806.15
Customer 241 Arrival: 571.46, End Shopping: 577.76, Wait Time: 0.49, End Checkout: 579.75
Customer 242 Arrival: 503.75, End Shopping: 531.83, Wait Time: 86.8, End Checkout: 621.93
Customer 243 Arrival: 195.9, End Shopping: 221.58, Wait Time: 37.54, End Checkout: 262.32
Customer 244 Arrival: 593.23, End Shopping: 599.39, Wait Time: 1.95, End Checkout: 603.14
Customer 245 Arrival: 202.51, End Shopping: 239.63, Wait Time: 39.86, End Checkout: 284.39
Customer 246 Arrival: 576.61, End Shopping: 583.61, Wait Time: 1.88, End Checkout: 586.99
Customer 247 Arrival: 442.33, End Shopping: 469.47, Wait Time: 78.13, End Checkout: 550.75
Customer 248 Arrival: 68.75, End Shopping: 76.43, Wait Time: -0.0, End Checkout: 78.03
Customer 249 Arrival: 414.12, End Shopping: 423.32, Wait Time: 3.21, End Checkout: 428.53
Customer 250 Arrival: 137.44, End Shopping: 172.24, Wait Time: 20.45, End Checkout: 197.69
Customer 251 Arrival: 3.29, End Shopping: 36.31, Wait Time: 3.43, End Checkout: 43.04
Customer 252 Arrival: 606.26, End Shopping: 672.93, Wait Time: 112.61, End Checkout: 790.49
Customer 253 Arrival: 77.68, End Shopping: 151.48, Wait Time: 16.09, End Checkout: 172.57
Customer 254 Arrival: 233.01, End Shopping: 247.41, Wait Time: 47.35, End Checkout: 297.51
Customer 255 Arrival: 531.5, End Shopping: 577.0, Wait Time: 103.74, End Checkout: 685.24
Customer 256 Arrival: 229.23, End Shopping: 235.89, Wait Time: 0.72, End Checkout: 238.21
Customer 257 Arrival: 490.03, End Shopping: 496.19, Wait Time: 0.0, End Checkout: 498.29
Customer 258 Arrival: 95.56, End Shopping: 109.81, Wait Time: 12.15, End Checkout: 124.91
Customer 259 Arrival: 459.84, End Shopping: 477.12, Wait Time: 84.6, End Checkout: 564.92
Customer 260 Arrival: 465.65, End Shopping: 483.57, Wait Time: 79.98, End Checkout: 566.35
Customer 261 Arrival: 231.47, End Shopping: 242.87, Wait Time: 0.0, End Checkout: 244.87
Customer 262 Arrival: 605.88, End Shopping: 609.24, Wait Time: 2.93, End Checkout: 613.57
Customer 263 Arrival: 120.38, End Shopping: 120.96, Wait Time: 1.29, End Checkout: 123.35
Customer 264 Arrival: 435.74, End Shopping: 475.34, Wait Time: 77.87, End Checkout: 557.46
Customer 265 Arrival: 368.07, End Shopping: 369.75, Wait Time: 0.0, End Checkout: 371.05
Customer 266 Arrival: 79.2, End Shopping: 81.54, Wait Time: 1.65, End Checkout: 84.49
Customer 267 Arrival: 533.25, End Shopping: 536.13, Wait Time: 0.46, End Checkout: 537.79
Customer 268 Arrival: 447.61, End Shopping: 454.81, Wait Time: 1.91, End Checkout: 458.52
Customer 269 Arrival: 599.25, End Shopping: 621.75, Wait Time: 104.22, End Checkout: 729.47
Customer 270 Arrival: 151.58, End Shopping: 159.28, Wait Time: 1.55, End Checkout: 162.83
Customer 271 Arrival: 283.58, End Shopping: 297.02, Wait Time: 49.45, End Checkout: 349.67
Customer 272 Arrival: 85.64, End Shopping: 91.36, Wait Time: 0.0, End Checkout: 92.76
Customer 273 Arrival: 537.36, End Shopping: 544.5, Wait Time: 0.0, End Checkout: 546.2
Customer 274 Arrival: 237.99, End Shopping: 299.91, Wait Time: 49.9, End Checkout: 354.21
Customer 275 Arrival: 544.93, End Shopping: 551.59, Wait Time: -0.0, End Checkout: 553.49
Customer 276 Arrival: 384.12, End Shopping: 431.16, Wait Time: 80.12, End Checkout: 515.38
Customer 277 Arrival: 387.77, End Shopping: 446.42, Wait Time: 77.92, End Checkout: 528.89
Customer 278 Arrival: 197.44, End Shopping: 256.72, Wait Time: 40.85, End Checkout: 302.17
Customer 279 Arrival: 655.46, End Shopping: 716.09, Wait Time: 140.37, End Checkout: 860.61
Customer 280 Arrival: 103.59, End Shopping: 127.35, Wait Time: 17.48, End Checkout: 148.03
Customer 281 Arrival: 645.29, End Shopping: 653.19, Wait Time: 2.01, End Checkout: 657.2
Customer 282 Arrival: 651.77, End Shopping: 655.13, Wait Time: 2.98, End Checkout: 659.71
Customer 283 Arrival: 139.47, End Shopping: 143.79, Wait Time: 1.03, End Checkout: 146.62
